CreatedDate,Invested_Value
1/21/2021,36541342.93332
1/25/2022,36735448.51438
1/27/2023,31872695.99989
10/19/2021,42861319.62372
10/19/2022,28009379.576169997
11/11/2020,31335941.23094
11/9/2022,27905399.24977
12/14/2021,38324063.41078
12/16/2022,29877849.32911
2/16/2022,35712818.71144
2/8/2023,37368781.42099
2023-04-09 00:00:00,37146062.22814655
2023-05-09 00:00:00,37235769.59158252
2023-06-09 00:00:00,37325760.88575038
2023-07-09 00:00:00,37416036.89902639
2023-08-09 00:00:00,37506598.42215739
2023-09-09 00:00:00,37597446.24826785
2023-10-09 00:00:00,37688581.17286672
2023-11-09 00:00:00,37780003.99385441
2023-12-09 00:00:00,37871715.511529855
2024-01-09 00:00:00,37963716.52859742
2024-02-09 00:00:00,38056007.850174
2024-03-09 00:00:00,38148590.28379604
2024-04-09 00:00:00,38241464.63942663
2024-05-09 00:00:00,38334631.72946257
2024-06-09 00:00:00,38428092.368741535
2024-07-09 00:00:00,38521847.374549136
2024-08-09 00:00:00,38615897.566626154
2024-09-09 00:00:00,38710243.76717569
2024-10-09 00:00:00,38804886.80087034
2024-11-09 00:00:00,38899827.49485947
2024-12-09 00:00:00,38995066.67877646
2025-01-09 00:00:00,39090605.18474587
2025-02-09 00:00:00,39186443.84739089
3/16/2022,32662194.05718
3/3/2021,37365982.52818
3/9/2023,37056638.00943
4/1/2021,36381934.82254
4/11/2022,32934265.45489
4/14/2020,22987228.73817
5/19/2020,23406542.55937
5/3/2021,38738399.77433
6/10/2020,27349167.08325
7/15/2021,41263329.88045
7/15/2022,29715307.96425
7/16/2020,28101286.21783
8/11/2020,27769871.12557
8/8/2022,32371048.21773
8/9/2021,42174093.88855
9/14/2022,31245855.97596
9/2/2021,42538552.20225
9/28/2020,29395758.22049
