,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
112,CIMC Enric Holdings Ltd,Cayman Islands,5/19/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
203,CIMC Enric Holdings Ltd,Cayman Islands,6/10/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
293,CIMC Enric Holdings Ltd,Cayman Islands,7/16/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
383,CIMC Enric Holdings Ltd,Cayman Islands,8/11/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
476,CIMC Enric Holdings Ltd,Cayman Islands,9/28/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
580,CIMC Enric Holdings Ltd,Cayman Islands,11/11/2020, CIMEF,10000,0.649999976,6499.99976,0.396825397
688,CIMC Enric Holdings Ltd,Cayman Islands,1/21/2021, CIMEF,10000,0.600000024,6000.00024,0.396825397
798,CIMC Enric Holdings Ltd,Cayman Islands,3/3/2021, CIMEF,10000,0.600000024,6000.00024,0.396825397
909,CIMC Enric Holdings Ltd,Cayman Islands,4/1/2021, CIMEF,10000,0.600000024,6000.00024,0.396825397
1021,CIMC Enric Holdings Ltd,Cayman Islands,5/3/2021, CIMEF,10000,0.600000024,6000.00024,0.396825397
1138,CIMC Enric Holdings Ltd,Cayman Islands,7/15/2021, CIMEF,10000,1.070000052,10700.00052,0.396825397
1256,CIMC Enric Holdings Ltd,Cayman Islands,8/9/2021, CIMEF,10000,1.0,10000.0,0.396825397
1374,CIMC Enric Holdings Ltd,Cayman Islands,9/2/2021, CIMEF,10000,1.0,10000.0,0.396825397
1493,CIMC Enric Holdings Ltd,Cayman Islands,9/9/2021, CIMEF,10000,1.399999976,13999.99976,0.396825397
1617,CIMC Enric Holdings Ltd,Cayman Islands,10/19/2021, CIMEF,10000,1.210000038,12100.00038,0.396825397
1741,CIMC Enric Holdings Ltd,Cayman Islands,10/29/2021, CIMEF,10000,1.299999952,12999.99952,0.396825397
1867,CIMC Enric Holdings Ltd,Cayman Islands,12/14/2021, CIMEF,10000,1.140050054,11400.50054,0.396825397
1993,CIMC Enric Holdings Ltd,Cayman Islands,1/25/2022, CIMEF,10000,1.24000001,12400.0001,0.396825397
2119,CIMC Enric Holdings Ltd,Cayman Islands,2/9/2022, CIMEF,10000,1.235000014,12350.00014,0.396825397
2245,CIMC Enric Holdings Ltd,Cayman Islands,2/16/2022, CIMEF,10000,1.235000014,12350.00014,0.396825397
2369,CIMC Enric Holdings Ltd,Cayman Islands,3/16/2022, CIMEF,10000,1.044999957,10449.99957,0.396825397
2492,CIMC Enric Holdings Ltd,Cayman Islands,4/11/2022, CIMEF,10000,1.169999957,11699.99957,0.396825397
2615,CIMC Enric Holdings Ltd,Cayman Islands,5/11/2022, CIMEF,10000,0.966799974,9667.99974,0.396825397
2738,CIMC Enric Holdings Ltd,Cayman Islands,6/14/2022, CIMEF,10000,1.090000033,10900.00033,0.396825397
