,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore,Climate
0,,,4/14/2020,AACAF,10000,4.960000038,49600.00038,0.396825397,
1,,,5/19/2020,AACAF,10000,5.309999943,53099.99943,0.396825397,
2,,,06-10-2020,AACAF,10000,5.309999943,53099.99943,0.396825397,
3,,,7/16/2020,AACAF,10000,6.829999924,68299.99924,0.396825397,
4,,,08-11-2020,AACAF,10000,8.090000153,80900.00153,0.396825397,
5,,,9/28/2020,AACAF,10000,5.550000191,55500.00191,0.396825397,
6,,,11-11-2020,AACAF,10000,5.800000191,58000.00191,0.396825397,
7,,,1/21/2021,AACAF,10000,5.949999809,59499.99809,0.396825397,
8,,,03-03-2021,AACAF,10000,5.409999847,54099.99847,0.396825397,
9,,,04-01-2021,AACAF,10000,5.019999981,50199.99981,0.396825397,
10,,,05-03-2021,AACAF,10000,5.019999981,50199.99981,0.396825397,
11,,,7/15/2021,AACAF,10000,7.539999962,75399.99962,0.396825397,
12,,,08-09-2021,AACAF,10000,6.320000172,63200.00172,0.396825397,
13,,,09-02-2021,AACAF,10000,5.420000076,54200.00076,0.396825397,
14,,,10/19/2021,AACAF,10000,4.010000229,40100.00229,0.396825397,
15,,,12/14/2021,AACAF,10000,4.139999866,41399.99866,0.396825397,
16,,,1/25/2022,AACAF,10000,3.230000019,32300.00019,0.396825397,
17,,,2/16/2022,AACAF,10000,2.900000095,29000.00095,0.396825397,
18,,,3/16/2022,AACAF,10000,2.539999962,25399.99962,0.396825397,
19,,,04-11-2022,AACAF,10000,2.420000076,24200.00076,0.396825397,
20,,,7/15/2022,AACAF,10000,2.380000114,23800.00114,0.396825397,
21,,,08-08-2022,AACAF,10000,2,20000,0.396825397,
22,,,9/14/2022,AACAF,10000,1.860000014,18600.00014,0.396825397,
23,,,10/19/2022,AACAF,10000,1.860000014,18600.00014,0.396825397,
24,,,11-09-2022,AACAF,10000,1.679999948,16799.99948,0.396825397,
25,,,12/16/2022,AACAF,10000,2.390000105,23900.00105,0.396825397,
26,,,1/27/2023,AACAF,10000,2.75,27500,0.396825397,
27,,,02-08-2023,AACAF,10000,2.75,27500,0.396825397,
28,,,03-09-2023,AACAF,10000,2.25999999,22599.9999,0.396825397,
29,,,4/14/2020,AAGEF,10000,0.167999998,1679.99998,0.396825397,
30,,,5/19/2020,AAGEF,10000,0.167999998,1679.99998,0.396825397,
31,,,06-10-2020,AAGEF,10000,0.167999998,1679.99998,0.396825397,
32,,,7/16/2020,AAGEF,10000,0.167999998,1679.99998,0,
33,,,08-11-2020,AAGEF,10000,0.167999998,1679.99998,0,
34,,,9/28/2020,AAGEF,10000,0.167999998,1679.99998,0,
35,,,11-11-2020,AAGEF,10000,0.167999998,1679.99998,0,
36,,,1/21/2021,AAGEF,10000,0.167699993,1676.99993,0,
37,,,03-03-2021,AAGEF,10000,0.167699993,1676.99993,0.396825397,
38,,,04-01-2021,AAGEF,10000,0.167699993,1676.99993,0.396825397,
39,,,05-03-2021,AAGEF,10000,0.167699993,1676.99993,0.396825397,
40,,,7/15/2021,AAGEF,10000,0.167699993,1676.99993,0.396825397,
41,,,08-09-2021,AAGEF,10000,0.167699993,1676.99993,0.793650794,
42,,,09-02-2021,AAGEF,10000,0.167699993,1676.99993,0.793650794,
43,,,10/19/2021,AAGEF,10000,0.167699993,1676.99993,0.793650794,
44,,,12/14/2021,AAGEF,10000,0.167699993,1676.99993,0.396825397,
45,,,1/25/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
46,,,2/16/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
47,,,3/16/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
48,,,04-11-2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
49,,,7/15/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
50,,,08-08-2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
51,,,9/14/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
52,,,10/19/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
53,,,11-09-2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
54,,,12/16/2022,AAGEF,10000,0.167699993,1676.99993,0.396825397,
55,,,1/27/2023,AAGEF,10000,0.167699993,1676.99993,0.396825397,
56,,,02-08-2023,AAGEF,10000,0.167699993,1676.99993,0.396825397,
57,,,03-09-2023,AAGEF,10000,0.167699993,1676.99993,0.396825397,
58,,,4/14/2020,AAN,10000,0,0,0,
59,,,5/19/2020,AAN,10000,0,0,0,
60,,,06-10-2020,AAN,10000,0,0,0,
61,,,7/16/2020,AAN,10000,0,0,0,
62,,,08-11-2020,AAN,10000,0,0,0,
63,,,9/28/2020,AAN,10000,0,0,0,
64,,,11-11-2020,AAN,10000,0,0,0,
65,,,1/21/2021,AAN,10000,20.79000092,207900.0092,0.396825397,
66,,,03-03-2021,AAN,10000,22.52000046,225200.0046,0,
67,,,04-01-2021,AAN,10000,26.21500015,262150.0015,0,
68,,,05-03-2021,AAN,10000,31.44000053,314400.0053,0,
69,,,7/15/2021,AAN,10000,28.98999977,289899.9977,0,
70,,,08-09-2021,AAN,10000,27.61000061,276100.0061,0,
71,,,09-02-2021,AAN,10000,27.23999977,272399.9977,0,
72,,,10/19/2021,AAN,10000,28.84000015,288400.0015,0,
73,,,12/14/2021,AAN,10000,24.15999985,241599.9985,0,
74,,,1/25/2022,AAN,10000,22.48999977,224899.9977,0,
75,,,2/16/2022,AAN,10000,21.84000015,218400.0015,0,
76,,,3/16/2022,AAN,10000,22.85000038,228500.0038,0,
77,,,04-11-2022,AAN,10000,21.89999962,218999.9962,0,
78,,,7/15/2022,AAN,10000,14.68999958,146899.9958,0,
79,,,08-08-2022,AAN,10000,15.10000038,151000.0038,0,
80,,,9/14/2022,AAN,10000,12.06999969,120699.9969,0,
81,,,10/19/2022,AAN,10000,8.880000114,88800.00114,0,
82,,,11-09-2022,AAN,10000,10.10000038,101000.0038,0,
83,,,12/16/2022,AAN,10000,12.09000015,120900.0015,0,
84,,,1/27/2023,AAN,10000,14.43999958,144399.9958,0,
85,,,02-08-2023,AAN,10000,15.18000031,151800.0031,0,
86,,,03-09-2023,AAN,10000,12.14999962,121499.9962,0,
87,,,4/14/2020,ABIO,10000,3.900000095,39000.00095,0,
88,,,5/19/2020,ABIO,10000,3.819999933,38199.99933,0,
89,,,06-10-2020,ABIO,10000,9.949999809,99499.99809,0,
90,,,7/16/2020,ABIO,10000,6.650000095,66500.00095,0,
91,,,08-11-2020,ABIO,10000,6.96999979,69699.9979,0,
92,,,9/28/2020,ABIO,10000,4.650000095,46500.00095,0,
93,,,11-11-2020,ABIO,10000,3.910000086,39100.00086,0,
94,,,1/21/2021,ABIO,10000,4.840000153,48400.00153,0,
95,,,03-03-2021,ABIO,10000,4.579999924,45799.99924,0,
96,,,04-01-2021,ABIO,10000,3.809999943,38099.99943,0,
97,,,05-03-2021,ABIO,10000,3.49000001,34900.0001,0.396825397,
98,,,7/15/2021,ABIO,10000,3.140000105,31400.00105,0.396825397,
99,,,08-09-2021,ABIO,10000,3.119999886,31199.99886,0.396825397,
100,,,09-02-2021,ABIO,10000,3.130000114,31300.00114,0.396825397,
101,,,10/19/2021,ABIO,10000,2.769999981,27699.99981,0.396825397,
102,,,12/14/2021,ABIO,10000,2.349999905,23499.99905,0.396825397,
103,,,1/25/2022,ABIO,10000,1.970000029,19700.00029,0.396825397,
104,,,2/16/2022,ABIO,10000,1.879999995,18799.99995,0.396825397,
105,,,3/16/2022,ABIO,10000,2.349999905,23499.99905,0.396825397,
106,,,04-11-2022,ABIO,10000,2.400000095,24000.00095,0.396825397,
107,,,7/15/2022,ABIO,10000,2.5,25000,0.396825397,
108,,,08-08-2022,ABIO,10000,2.400000095,24000.00095,0.396825397,
109,,,9/14/2022,ABIO,10000,2.359999895,23599.99895,0.396825397,
110,,,10/19/2022,ABIO,10000,2.109999895,21099.99895,0.396825397,
111,,,11-09-2022,ABIO,10000,2.109999895,21099.99895,0,
112,,,12/16/2022,ABIO,10000,2.430000067,24300.00067,0,
113,,,1/27/2023,ABIO,10000,2.309999943,23099.99943,0,
114,,,02-08-2023,ABIO,10000,2.220000029,22200.00029,0,
115,,,03-09-2023,ABIO,10000,2.210000038,22100.00038,0,
116,,,4/14/2020,AC,10000,35.43283463,354328.3463,0.396825397,
117,,,5/19/2020,AC,10000,37.3134346,373134.346,0.396825397,
118,,,06-10-2020,AC,10000,35.90049744,359004.9744,0.396825397,
119,,,7/16/2020,AC,10000,39.34328461,393432.8461,0.396825397,
