CreatedDate,ESGScore
1/21/2021,0.5201719577777778
1/25/2022,0.5953483246111112
1/27/2023,0.6514550265833334
10/19/2021,0.5853174604166667
10/19/2022,0.6394400354166667
11/11/2020,0.5201719577777778
11/9/2022,0.6394400354166667
12/14/2021,0.5953483246111112
12/16/2022,0.6504629631111112
2/16/2022,0.5953483246111112
2/8/2023,0.6514550265833334
3/16/2022,0.6063712523055557
3/3/2021,0.5201719577777778
3/9/2023,0.6735008819444445
4/1/2021,0.5201719577777778
4/11/2022,0.6063712523055557
4/14/2020,0.49812610236111116
5/19/2020,0.5091490300555557
5/3/2021,0.5422178131666667
6/10/2020,0.5091490300555557
7/15/2021,0.5422178131666667
7/15/2022,0.6063712523055557
7/16/2020,0.5091490300555557
8/11/2020,0.52017195775
8/8/2022,0.595348324638889
8/9/2021,0.5532407408333334
9/14/2022,0.6394400354166667
9/2/2021,0.5752865962222222
9/28/2020,0.5201719577777778
