,Ticker,CreatedDate,Stock_Price,Quantity,Invested_Value,ESGScore,Climate,Country,Company
0, OIL,4/14/2020,10.80000019,10000,108000.0019,0.396825397,Fossil,India,Oil India Ltd
1, OIL,5/19/2020,10.19999981,10000,101999.9981,0.396825397,Fossil,India,Oil India Ltd
2, OIL,6/10/2020,12.02000046,10000,120200.0046,0.396825397,Fossil,India,Oil India Ltd
3, OIL,7/16/2020,12.56999969,10000,125699.9969,0.396825397,Fossil,India,Oil India Ltd
4, OIL,8/11/2020,13.21000004,10000,132100.0004,0.396825397,Fossil,India,Oil India Ltd
5, OIL,9/28/2020,12.23999977,10000,122399.9977,0.396825397,Fossil,India,Oil India Ltd
6, OIL,11/11/2020,12.69999981,10000,126999.9981,0.396825397,Fossil,India,Oil India Ltd
7, OIL,1/21/2021,15.35999966,10000,153599.9966,0.396825397,Fossil,India,Oil India Ltd
8, OIL,3/3/2021,17.79999924,10000,177999.9924,0.396825397,Fossil,India,Oil India Ltd
9, OIL,4/1/2021,18.18000031,10000,181800.0031,0.396825397,Fossil,India,Oil India Ltd
10, OIL,5/3/2021,19.04000092,10000,190400.0092,0.396825397,Fossil,India,Oil India Ltd
11, OIL,7/15/2021,21.44000053,10000,214400.0053,0.396825397,Fossil,India,Oil India Ltd
12, OIL,8/9/2021,20.18000031,10000,201800.0031,0.396825397,Fossil,India,Oil India Ltd
13, OIL,9/2/2021,21.39999962,10000,213999.9962,0.396825397,Fossil,India,Oil India Ltd
14, OIL,10/19/2021,25.05999947,10000,250599.9947,0.396825397,Fossil,India,Oil India Ltd
15, OIL,12/14/2021,21.98999977,10000,219899.9977,0.396825397,Fossil,India,Oil India Ltd
16, OIL,1/25/2022,26.36000061,10000,263600.0061,0.396825397,Fossil,India,Oil India Ltd
17, OIL,2/16/2022,28.35000038,10000,283500.0038,0.396825397,Fossil,India,Oil India Ltd
18, OIL,3/16/2022,30.79999924,10000,307999.9924,0.396825397,Fossil,India,Oil India Ltd
19, OIL,4/11/2022,31.45999908,10000,314599.9908,0.396825397,Fossil,India,Oil India Ltd
20, OIL,7/15/2022,31.79000092,10000,317900.0092,0.396825397,Fossil,India,Oil India Ltd
