,0,1,2
0,Trip.com Group Ltd,Cayman Islands, TCOM
0,Tuya Inc,Cayman Islands, TUYA
0,Uni-President China Holdings Ltd,Cayman Islands, UNPSF
0,Vinda International Holdings Ltd,Cayman Islands, VDAHF
0,Vipshop Holdings Ltd,Cayman Islands, VIPS
0,Want Want China Holdings Ltd,Cayman Islands, WWNTF
0,Weibo Corp,Cayman Islands, WB
0,WH Group Ltd,Cayman Islands, WHGLY
0,Wharf Real Estate Investment Co Ltd,Cayman Islands, WRFRF
0,WuXi Biologics (Cayman) Inc,Cayman Islands, WXIBF
0,Wynn Macau Ltd,Cayman Islands, WYNMF
0,Xiaomi Corp,Cayman Islands, XIACF
0,Xinyi Glass Holdings Ltd,Cayman Islands, XYIGF
0,Xinyi Solar Holdings Ltd,Cayman Islands, XISHY
0,XP Inc,Cayman Islands,XP
0,Zai Lab Ltd,Cayman Islands, ZLAB
0,Zhihu Inc,Cayman Islands, ZH
0,Zhongsheng Group Holdings Ltd,Cayman Islands, ZHSHF
0,ZTO Express (Cayman) Inc,Cayman Islands, ZTO
0,Agricultural Bank of China Ltd,China, ACGBF
0,AviChina Industry & Technology Co Ltd,China, AVIJF
0,BAIC Motor Corp Ltd,China, BCCMY
0,Bank Of China Ltd,China, BACHF
0,Bank of Communications Co Ltd,China, BCMXY
0,Beijing Capital International Airport Co Ltd,China, BJCHF
0,BYD Co Ltd,China, BYDDF
0,China Cinda Asset Management Co Ltd,China, CCGDF
0,China Citic Bank Corp Ltd,China, CHBJF
0,China Communications Services Corp Ltd,China, CUCSF
0,China Construction Bank Corp,China, CICHF
0,China International Capital Corp Ltd,China, CIM
0,China Life Insurance Co Ltd,China, CILJF
0,China Longyuan Power Group Corp Ltd,China, CLPXF
0,China Merchants Bank Co Ltd,China, CIHHF
0,China National Building Material Co Ltd,China, CBUMF
0,China Petroleum & Chemical Corp,China, SNPMF
0,China Shenhua Energy Co Ltd,China, CSUAY
0,China Vanke Co Ltd,China, CHVKF
0,Dongfeng Motor Group Co Ltd,China, DNFGF
0,Guangzhou Baiyunshan Pharmaceutical Holdings Co Ltd,China, GZPHF
0,Guangzhou R&F Properties Co Ltd,China, GZUHF
0,Industrial And Commercial Bank Of China Ltd,China, IDCBF
0,Legend Holdings Ltd,China, LGNRF
0,Nongfu Spring Co Ltd,China, NNFSF
0,PetroChina Co Ltd,China, PCCYF
0,PICC Property and Casualty Co Ltd,China, PPCCF
0,Ping An Insurance (Group) Co. of China Ltd,China, PIAIF
0,Shandong Weigao Group Medical Polymer Co Ltd,China, SHWGF
0,SINOPEC Engineering (Group) Co Ltd,China, SENGF
0,Sinopharm Group Co Ltd,China, SHTDF
0,TravelSky Technology Ltd,China, TSYHF
0,Yuzhou Group Holdings Co Ltd,China, YUZHF
0,Zhaojin Mining Industry Co Ltd,China, ZHAOF
0,Zhejiang Expressway Co Ltd,China, ZHEXF
0,ZhongAn Online P&C Insurance Co Ltd,China, ZZHGF
0,Zhuzhou CRRC Times Electric Co Ltd,China, ZHUZF
0,Accor SA,France, AC
0,Aeroports de Paris SA,France, ADP
0,Air France-KLM,France, AFLYY
0,Air Liquide SA,France, AI
0,Alstom SA,France, ALSMY
0,Altarea SCA,France, ATRRF
0,Amundi SA,France, AMDUF
0,Arkema SA,France, ARKAF
0,Atos SE,France, AEXAF
0,AXA SA,France, AXAHF
0,Believe SA,France, BLV
0,Bic,France, BB
0,BioMerieux SA,France, BMXMF
0,BNP Paribas,France, BNPQF
0,Bollore SE,France, BOIVF
0,Bouygues,France, BOUYF
0,Bureau Veritas SA,France, BVRDF
0,Capgemini SE,France, CAPMF
0,Carrefour,France, CAR
0,Casino Guichard-Perrachon SA,France, CAJ
0,Christian Dior SE,France, CHDRF
0,Compagnie de l`Odet,France, FCODF
0,Compagnie de Saint-Gobain SA,France, CODGF
0,Covivio SA,France, GSEFF
0,Credit Agricole SA,France, ACA
0,Danone SA,France, BN
0,Dassault Aviation SA,France, AM
0,Dassault Systemes SE,France, DASTF
0,Edenred SA,France, EDEN
0,Eiffage SA,France, EFGSF
0,Electricite de France SA,France, ECIFF
0,Elis SA,France, ELSSF
0,Engie SA,France, ENGIY
0,Essilorluxottica,France, EL
0,Eurazeo SE,France, EUZOF
0,Eutelsat Communications,France, ETCMY
0,Exclusive Networks SA,France, EXN
0,Faurecia SE,France, FURCF
0,Gaztransport et technigaz SA,France, GZPZF
0,Gecina Nom,France, GECFF
0,Getlink SE,France, GRPTF
0,Hermes International SA,France, HESAF
0,Icade,France, CDMGF
0,Imerys,France, IMYSF
0,Interparfums,France, ITP
0,Ipsen SA,France, IPSEF
0,JCDecaux SE,France, JCDXF
0,Kering SA,France, PPRUF
0,Klepierre,France, KLPEF
0,L'Oreal SA,France, LRLCF
0,La Francaise Des Jeux SA,France, LFDJF
0,Lagardere SA,France, LGDDF
0,Legrand SA,France, LGRDY
0,LVMH Moet Hennessy Louis Vuitton SE,France, LVMHF
0,Mercialys SA,France, MEIYF
0,Metropole Television SA,France, MMT
0,Michelin,France, MCHA
0,Nexans,France, NEX
0,Nexity SA,France, NNXXY
0,Orange SA,France, FNCTF
0,Orpea SA,France, OPA
0,Pernod Ricard SA,France, PDRDF
0,Peugeot Invest,France, FFPP
0,Plastic Omnium,France, EZM
0,Publicis Groupe SA,France, PGPEF
0,Remy Cointreau,France, REMYF
0,Renault SA,France, RNLSY
0,Rexel SA,France, RXEEY
0,Rothschild & Co SCA,France, PIEJF
0,Rubis SCA,France, BYN
0,Safran SA,France, SAFRF
0,Sanofi SA,France, SAN
0,Sartorius Stedim Biotech SA,France, DIM
0,Schneider Electric SE,France, SBGSF
0,SCOR SE,France, SCRYY
0,SEB SA,France, SEBYF
0,Societe Generale SA,France, SCGLF
0,Sodexo,France, SDXAY
0,Soitec SA,France, SLOIF
0,Sopra Steria Group SA,France, SPSAF
0,Teleperformance SE,France, TLPFF
0,Television Francaise 1 SA,France, TFI
0,Thales,France, CSF
0,Tikehau Capital SCA,France, TKKHF
0,TotalEnergies SE,France, TTE
0,Trigano SA,France, TRI
0,Ubisoft Entertainment,France, UBSFF
0,Valeo SA,France, FR
0,Vallourec SA,France, VAC
0,Veolia Environnement SA,France, VEOEF
0,Vinci SA,France, DG
0,Virbac SA,France, VRBCF
0,Vivendi SE,France, VIV
0,Wendel SE,France, MF
0,Worldline SA,France, WWLNF
0,Golden Agri-Resources Ltd,Mauritius, GARPF
0,MakeMyTrip Ltd,Mauritius,MMYT
0,ALLETE Inc,United States, ALE
0,Alliant Energy Corp,United States, LNT
0,Ameren Corp,United States, AEE
0,American Electric Power Co Inc,United States, AEP
0,Atmos Energy Corp,United States, AEO
0,Avangrid Inc,United States, AGR
0,Avista Corp,United States, AVA
0,Berkshire Hathaway Inc,United States, BRYN
0,Black Hills Corp,United States, BKH
0,CenterPoint Energy Inc,United States, CNP
0,CMS Energy Corp,United States, CMS
0,Consolidated Edison Inc,United States, ED
0,Dominion Energy Inc,United States, D
0,DTE Energy Co,United States, DTE
0,Duke Energy Corp,United States, DUK
0,Edison International,United States, EIX
0,Entergy Corp,United States, ETR
0,Evergy Inc,United States, EVRG
0,Eversource Energy,United States, ES
0,Exelon Corp,United States, EXC
0,FirstEnergy Corp,United States, FE
0,Hawaiian Electric Industries Inc,United States,HE
0,Idacorp Inc,United States,IDA
0,MDU Resources Group Inc,United States,MDU
0,MGE Energy Inc,United States,MGEE
0,New Fortress Energy Inc,United States,NFE
0,New Jersey Resources Corp,United States, NJR
0,NextEra Energy Inc,United States, NEE
0,NiSource Inc,United States, NI
0,NorthWestern Corp,United States,NWE
0,NRG Energy Inc,United States, NRG
0,OGE Energy Corp,United States, OGE
0,ONE Gas Inc,United States, OGS
0,PG&E Corp,United States, PCG
0,Pinnacle West Capital Corp,United States, PNW
0,PNM Resources Inc,United States, PNM
0,Portland General Electric Co,United States, POR
0,PPL Corp,United States, PPL
0,Public Service Enterprise Group Inc,United States, PEG
0,Sempra Energy,United States, SRE
0,Southern Co,United States, SO
0,Southwest Gas Holdings Inc,United States,SWX
0,Spire Inc,United States, SR
0,The AES Corp,United States, AES
0,UGI Corp,United States, UGI
0,Vistra Corp,United States, VST
0,WEC Energy Group Inc,United States, WEC
0,Xcel Energy Inc,United States, XEL
0,Capri Holdings Ltd,"Virgin Islands, British", CPRI
0,Nomad Foods Ltd,"Virgin Islands, British", NOMD
0,VK Co Ltd,"Virgin Islands, British", MLRYY
