,Company,Country,Ticker
4266,RLX Technology Inc,Cayman Islands, RLX
4267,Sands China Ltd,Cayman Islands, SCHYF
4268,Sany Heavy Equipment International Holdings Co Ltd,Cayman Islands, SNYYF
4269,Sapiens International Corp NV,Cayman Islands, SPNS
4270,Sea Ltd,Cayman Islands, SE
4271,Seazen Group Ltd,Cayman Islands, SZENF
4272,Shelf Drilling Ltd,Cayman Islands, SHLLF
4273,Shengli Oil & Gas Pipe Holdings Ltd,Cayman Islands, GSG
4274,Shenzhou International Group Holdings Ltd,Cayman Islands, SHZHY
4275,Shimao Group Holdings Ltd,Cayman Islands, SHMAY
4276,Silicon Motion Technology Corp,Cayman Islands, SIMO
4277,Sino Biopharmaceutical Ltd,Cayman Islands, SBHMY
4278,SITC International Holdings Co Ltd,Cayman Islands, SITIF
4279,Smoore International Holdings Ltd,Cayman Islands, SMORF
4280,SPT Energy Group Inc,Cayman Islands, SEGYY
4281,StoneCo Ltd,Cayman Islands, STNE
4282,Sunac China Holdings Ltd,Cayman Islands, SCCCF
4283,Sunny Optical Technology (Group) Co Ltd,Cayman Islands, SNPTF
4284,TAL Education Group,Cayman Islands, TAL
4285,Tencent Holdings Ltd,Cayman Islands, TCEHY
4286,Tencent Music Entertainment Group,Cayman Islands, TME
4287,Tethys Petroleum Ltd,Cayman Islands, TETHF
4288,Tianneng Power International Ltd,Cayman Islands, TIANF
4289,Tingyi (Cayman Islands) Holding Corp,Cayman Islands, TCYMF
4290,Towngas Smart Energy Co Ltd,Cayman Islands, PGJ
4291,Trip.com Group Ltd,Cayman Islands, TCOM
4292,Tuya Inc,Cayman Islands, TUYA
4293,Uni-President China Holdings Ltd,Cayman Islands, UNPSF
4294,Vantage Drilling Co,Cayman Islands,VTGDF
4295,Vantage Drilling International,Cayman Islands,VTDRF
4296,Vinda International Holdings Ltd,Cayman Islands, VDAHF
4297,Vipshop Holdings Ltd,Cayman Islands, VIPS
4298,Want Want China Holdings Ltd,Cayman Islands, WWNTF
4299,Weibo Corp,Cayman Islands, WB
4300,WH Group Ltd,Cayman Islands, WHGLY
4301,Wharf Real Estate Investment Co Ltd,Cayman Islands, WRFRF
4302,WuXi Biologics (Cayman) Inc,Cayman Islands, WXIBF
4303,Wynn Macau Ltd,Cayman Islands, WYNMF
4304,Xiaomi Corp,Cayman Islands, XIACF
4305,Xinyi Glass Holdings Ltd,Cayman Islands, XYIGF
4306,Xinyi Solar Holdings Ltd,Cayman Islands, XISHY
4307,XP Inc,Cayman Islands,XP
4308,Yadea Group Holdings Ltd,Cayman Islands, YADGF
4309,Zai Lab Ltd,Cayman Islands, ZLAB
4310,Zhihu Inc,Cayman Islands, ZH
4311,Zhongsheng Group Holdings Ltd,Cayman Islands, ZHSHF
4312,ZTO Express (Cayman) Inc,Cayman Islands, ZTO
10587,Golden Agri-Resources Ltd,Mauritius, GARPF
10588,MakeMyTrip Ltd,Mauritius,MMYT
13288,Capri Holdings Ltd,"Virgin Islands, British", CPRI
13289,China Natural Resources Inc,"Virgin Islands, British",CHNR
13290,Feishang Anthracite Resources Ltd,"Virgin Islands, British", FSHRF
13291,National Energy Services Reunited Corp,"Virgin Islands, British",NESR
13292,Nomad Foods Ltd,"Virgin Islands, British", NOMD
13293,Orca Energy Group Inc,"Virgin Islands, British", ORXGF
13294,Petro-Victory Energy Corp,"Virgin Islands, British", PTVRF
13295,Solgenics Ltd,"Virgin Islands, British", NCDZF
13296,VK Co Ltd,"Virgin Islands, British", MLRYY
